sex,age_group,% 1 portion or more but less than 2,% 2 portions or more but less than 3,% 3 portions or more but less than 4,% 4 portions or more but less than 5,% 5 portions or more,% less than 1 portion,% none,10 to under 20 cigarettes a day,20 or more cigarettes a day,Active (30 minutes or more MVPA per week),All men,All women,Current smoker,Inactive (below 30 minutes MVPA per week),Mean portions,Median,Median per current smoker per day,Never regularly smoked cigarettes,Number smoked a day not known,Standard error of the mean,Under 10 cigarettes a day,Used to smoke cigarettes regularly,obesity_prevalence,age_group_ons,self_rated_good_health_pct_age,self_rated_good_health_pct_sex
All adults,16-24,,,,,,,,,,81.67192276422243,,,,18.32807723577761,,,,,,,,,,16 to 29,86.0,
All adults,16-24 years,20.47201925534675,17.67006764470101,12.481517162565762,10.541317135667866,25.3821554865271,3.968340701611234,9.484582613580308,,,,,,,,3.5118205459239102,2.6666666666666665,,,,0.1920033355118048,,,,,,
All adults,25-34,,,,,,,,,,82.3282391850409,,,,17.671760814959114,,,,,,,,,,16 to 29,86.0,
All adults,25-34 years,17.06704349035291,18.70754686490249,14.59506318078728,13.175649745233244,25.61143712219593,3.126934300090205,7.716325296437828,,,,,,,,3.5645494766283883,3.0,,,,0.1264996512169353,,,,,,
All adults,35-44,,,,,,,,,,83.79081181119616,,,,16.20918818880378,,,,,,,,,,30 to 49,70.0,
All adults,35-44 years,13.08727293810096,13.571416116212417,17.378190206372377,13.879650887663894,31.622253646623506,3.2837495334288365,7.177466671597952,,,,,,,,4.0078600543055165,3.6666666666666665,,,,0.1122969576065843,,,,,,
All adults,45-54,,,,,,,,,,79.52455273215713,,,,20.475447267842856,,,,,,,,,,30 to 49,70.0,
All adults,45-54 years,14.026732605092835,15.655657115362336,16.3343111890136,15.256425823589217,29.263568683205087,3.2695583690555097,6.193746214681251,,,,,,,,3.918051501039512,3.5,,,,0.1015874031433317,,,,,,
All adults,55-64,,,,,,,,,,76.7928264473339,,,,23.207173552666024,,,,,,,,,,50 to 69,63.0,
All adults,55-64 years,16.864414511656072,15.281472729553704,15.188292963363216,12.447481996076451,28.62487365219591,3.722223624515564,7.871240522639137,,,,,,,,3.757653603713911,3.1666666666666665,,,,0.1021555676477684,,,,,,
All adults,65-74,,,,,,,,,,72.26475856233357,,,,27.735241437666183,,,,,,,,,,50 to 69,63.0,
All adults,65-74 years,13.435100947092693,15.974163329815296,16.105667166633175,13.18039438465694,33.899899654793046,2.9871129198018456,4.4176615972069175,,,,,,,,4.244242706245858,3.6666666666666665,,,,0.1014819295329385,,,,,,
All adults,75+,,,,,,,,,,60.8990726855327,,,,39.10092731446704,,,,,,,,,,70 and over,53.0,
All adults,75+ years,12.609955911365557,15.839386713637648,18.173489910131178,15.345406998068976,30.628070217214145,4.582276518302887,2.821413731279133,,,,,,,,4.041999400875819,3.6666666666666665,,,,0.0936555283561356,,,,,,
All adults,All,15.41085759447491,16.069097336770806,15.723266840663063,13.412317980149862,29.15649109488892,3.5142566383397984,6.713712514712445,4.572232747216205,2.5894989734525136,,,,12.651472392888166,,3.85001516389573,3.333333333333333,10.0,64.03514129096459,0.0243817449823616,0.0576377390243973,5.464158147125893,23.31338631614695,,,,
All adults,Total,,,,,,,,,,77.56132912856344,,,,22.43867087143617,,,,,,,,,,,,
Men,16-24,,,,,,,,,,85.7749811232175,,,,14.225018876782425,,,,,,,,,,16 to 29,86.0,
Men,16-24 years,21.146720366509737,14.7705548852716,12.465564887286332,8.881389765309404,25.90050936586719,5.374441117985068,11.460819611770658,,,,,,,,3.450653348204278,2.6666666666666665,,,,0.2630402339275287,,,,,,
Men,25-34,,,,,,,,,,83.3683057607681,,,,16.63169423923193,,,,,,,,,,16 to 29,86.0,
Men,25-34 years,18.362955085990965,20.008660087463507,14.140481829773156,11.910124345120106,23.529063566040733,3.640172169301988,8.408542916309544,,,,,,,,3.4096895440195016,2.666666666666667,,,,0.1841836514273959,,,,,,
Men,35-44,,,,,,,,,,84.18716071017327,,,,15.812839289826735,,,,,,,,,,30 to 49,70.0,
Men,35-44 years,13.03420710864548,14.837069348024228,18.03243271753984,11.97937048977044,29.58053533397137,3.512520317277049,9.023864684771556,,,,,,,,3.786365557046384,3.333333333333333,,,,0.1416152106304794,,,,,,
Men,45-54,,,,,,,,,,78.6679794852502,,,,21.332020514749853,,,,,,,,,,30 to 49,70.0,
Men,45-54 years,15.237942283445584,14.538557738846452,15.15608560045429,14.291866140246468,29.80715668153809,3.3392887796809783,7.629102775788031,,,,,,,,3.7910483608414975,3.333333333333333,,,,0.1327570934946852,,,,,,
Men,55-64,,,,,,,,,,76.21482420972016,,,,23.78517579027994,,,,,,,,,,50 to 69,63.0,
Men,55-64 years,18.63306074380777,15.652053830932328,13.426652376797586,11.283223778420592,28.76388674349193,4.315650716818648,7.925471809731231,,,,,,,,3.745686755279392,3.0,,,,0.1463577589286613,,,,,,
Men,65-74,,,,,,,,,,68.45418244288109,,,,31.545817557119133,,,,,,,,,,50 to 69,63.0,
Men,65-74 years,14.602444388046385,16.087934779355372,16.521216519081772,13.11316532773743,31.04070920806436,3.0277055719894,5.606824205725425,,,,,,,,4.10660853651769,3.5,,,,0.1390490915055505,,,,,,
Men,75+,,,,,,,,,,65.36846337008795,,,,34.631536629911984,,,,,,,,,,70 and over,53.0,
Men,75+ years,14.637561746001548,16.48640290906755,15.829554406284256,12.698902803097258,30.62901250959373,4.225965817392851,5.492599808562906,,,,2067.873927284702,,,,3.8920076769178484,3.333333333333333,,,,0.0995210829275567,,,,,,
